material_id,material_title,part,issue_id,question,updated_at,suggested_time
1003,Building,Part 1,5607,1. Are there tall buildings near your home?,,2026-01-12
1003,Building,Part 1,5578,2. Do you take photos of buildings?,,2026-01-08
1003,Building,Part 1,5579,3. Is there a building that you would like to visit?,,2026-01-08
1003,Building,Part 1,5635,4. Do you want to live in a tall building?,,2026-01-16
1004,Childhood activities,Part 1,5653,1. What are your favourite activities?,,2026-01-21
1004,Childhood activities,Part 1,5580,2. What were your favourite activities when you were a child?,,2026-01-08
1004,Childhood activities,Part 1,5581,3. Did you prefer to do activities alone or with a group of people when you were a child?,,2026-01-08
1004,Childhood activities,Part 1,5661,4. Are there any differences between the activities you liked when you were a child and those you like now?,,2026-01-30
1008,View,Part 1,5621,1. Do you like taking pictures of different views?,,2026-01-13
1008,View,Part 1,5622,2. Do you prefer views in urban areas or rural areas?,,2026-01-13
1008,View,Part 1,5623,3. Do you prefer views in your own country or in other countries?,,2026-01-13
1008,View,Part 1,5662,4. Have you ever seen an unforgettable and beautiful view or scenery?,,2026-01-30
1011,Social media,Part 1,5686,Have you ever posted anything on social media?,,
1011,Social media,Part 1,5687,When did you start using social media?,,
1011,Social media,Part 1,5688,Do you think you spend too much time on socialmedia?,,
1011,Social media,Part 1,5689,Do your friends use social media?,,
1011,Social media,Part 1,5690,What do people often do on social media?,,
1012,Science,Part 1,5691,Do you like science?,,
1012,Science,Part 1,5692,When did you start to learn about science?,,
1012,Science,Part 1,5693,Which science subject is interesting to you?,,
1012,Science,Part 1,5694,What kinds of interesting things have you done with science?,,
1012,Science,Part 1,5695,Do you like watching science TV programs?,,
1012,Science,Part 1,5696,Do Chinese people often visit science museums?,,
1013,Parks,Part 1,5697,Did you like going to parks as a child?,,
1013,Parks,Part 1,5698,Do you still like going to parks now?,,
1014,Teachers,Part 1,5702,Do you want to be a teacher in the future?,,
1014,Teachers,Part 1,5703,Do you have a teacher from your past that you stillremember?,,
1014,Teachers,Part 1,5704,Are you still in touch with your primary school teachers?,,
1014,Teachers,Part 1,5705,In what way has your favourite teacher helped you?,,
1014,Teachers,Part 1,5826,Do you have a favorite teacher?,,
1014,Teachers,Part 2,5702,Do you want to be a teacher in the future?,,
1029,Telling Jokes,Part 1,5776,1. Do you like to tell jokes?,,2026-05-07
1029,Telling Jokes,Part 1,5777,2. Do you have friends who love telling jokes?,,2026-05-07
1029,Telling Jokes,Part 1,5778,3. What are some common comedy shows in your country?,,2026-05-07
1029,Telling Jokes,Part 1,5779,4. Do you often joke with your friends?,,2026-05-07
1029,Telling Jokes,Part 1,5780,5. Do you like being joked about?,,2026-05-07
1030,Music,Part 1,5788,Do you like music?,,
1030,Music,Part 1,5789,What kinds of music do you listen to?,,
1030,Music,Part 1,5790,Do you prefer sad or happy music?,,
1030,Music,Part 1,5791,Does happy music make you feel more excited?,,
1030,Music,Part 1,5792,Is it easy to learn music?,,
1030,Music,Part 1,5793,Do you learn music lessons at school?,,
1031,Tidiness,Part 1,5794,Do you like to keep things tidy?,,
1031,Tidiness,Part 1,5795,Did you use to keep your room tidy as a child?,,
1031,Tidiness,Part 1,5796,Are you a tidy person now?,,
1031,Tidiness,Part 1,5797,What do you think of those who don't care about tidiness?,,
1031,Tidiness,Part 1,5798,What do you think of those who are overly concerned about tidiness?,,
1033,Clothing,Part 1,5806,What kind of clothes do you like to wear?,,
1033,Clothing,Part 1,5807,Do you prefer to wear comfortable and casual clothes or formal clothes?,,
1033,Clothing,Part 1,5808,Do you like wearing T-shirts?,,
1033,Clothing,Part 1,5809,Do you spend a lot of time choosing clothes?,,
1033,Clothing,Part 1,5824,Do you wear clothes of different styles onweekdays and weekends?,,
1033,Clothing,Part 1,5825,What colour clothes do you like?,,
1033,Clothing,Part 2,5806,What kind of clothes do you like to wear?,,
169,Scenery,Part 1,5597,1. Do you look out the window at the scenery when travelling by bus or car?,,2026-01-09
169,Scenery,Part 1,5598,2. Do you prefer the mountains or the sea?,,2026-01-09
169,Scenery,Part 1,5599,3. Do you like to take pictures of the scenery?,,2026-01-09
169,Scenery,Part 1,5600,4. What are the most beautiful sights you have seen while traveling?,,2026-01-09
27,Work/studies,Part 1,3834,1. Do you work or are you a student?,,2024-02-27
27,Work/studies,Part 1,3835,2. What do you do?,,2024-02-27
27,Work/studies,Part 1,3836,3. Why did you choose to do this type of work?,,2024-02-27
27,Work/studies,Part 1,3837,4. Do you like your job? Why/Why not?,,2024-02-27
27,Work/studies,Part 1,3838,5. What do you find the most interesting about the work you do? Why?,,2024-02-27
27,Work/studies,Part 1,3839,6. Will you need to do any more study for your job?,,2024-02-27
27,Work/studies,Part 1,3840,7. Where do you work?,,2024-02-27
27,Work/studies,Part 1,3841,8. Is it a good place to work?,,2024-02-27
27,Work/studies,Part 1,3842,9. Would you like the place where you work to make any changes?,,2024-02-27
27,Work/studies,Part 1,3843,10. What technology do you use at work?,,2024-02-27
27,Work/studies,Part 1,3844,11. What subjects are you studying?,,2024-02-27
27,Work/studies,Part 1,3845,12. Why did you choose to study this subject?,,2024-02-27
27,Work/studies,Part 1,3847,13. What do you like about your course?,,2024-02-27
27,Work/studies,Part 1,3848,14. What would you like to do after you finish your course?,,2024-02-27
27,Work/studies,Part 1,3849,15. Do you prefer to study in the mornings or in the afternoons?,,2024-02-27
27,Work/studies,Part 1,3850,16. Do you think you will miss being a student once you finish your studies? Why/why not?,,2024-02-27
27,Work/studies,Part 1,3851,17. What technology do you use when you study?,,2024-02-27
27,Work/studies,Part 1,3852,18. Are you enjoying your studies at the moment? Why/why not?,,2024-02-27
28,Home/Accommodation,Part 1,3853,1. Do you live in a house or an apartment?,,2024-02-27
28,Home/Accommodation,Part 1,3854,2. Do you prefer living in a house or an apartment?,,2024-02-27
28,Home/Accommodation,Part 1,3855,3. Do you live with anyone else? Why/Why not?,,2024-02-27
28,Home/Accommodation,Part 1,3856,4. Do you like the place you currently live in? Why/Why not?,,2024-02-27
28,Home/Accommodation,Part 1,3857,5. What is your favourite room in your house/apartment?,,2024-02-27
28,Home/Accommodation,Part 1,3858,6. Would you like to change anything in your house/apartment?,,2024-02-27
28,Home/Accommodation,Part 1,3859,7. Would you like to move to a different house/apartment in the future?,,2024-02-27
28,Home/Accommodation,Part 1,3860,8. What do you think makes a place comfortable to live in?,,2024-02-27
28,Home/Accommodation,Part 1,741,9. Can you describe the place where you live?,,2019-09-20
28,Home/Accommodation,Part 1,742,10. How long have you lived there?,,2019-09-20
28,Home/Accommodation,Part 1,743,11. Who do you live with?,,2019-09-20
28,Home/Accommodation,Part 1,744,12. Do you plan to live there for a long time?,,2019-09-20
28,Home/Accommodation,Part 1,745,13. What is the difference between where you are living now and where you have lived in the past?,,2019-09-20
28,Home/Accommodation,Part 1,747,14. What do you usually do in your flat?,,2019-09-20
28,Home/Accommodation,Part 1,748,15. Which room does your family spend most of the time in?,,2019-09-20
28,Home/Accommodation,Part 1,750,16. Are there transport facilities to your home that are very good?,,2019-09-20
28,Home/Accommodation,Part 1,751,17. What kinds of accommodation do you live in?,,2019-09-20
28,Home/Accommodation,Part 1,753,18. Please describe the room you live in?,,2019-09-20
28,Home/Accommodation,Part 1,754,19. What room does your family spend most of the time in?,,2019-09-20
29,Hometown,Part 1,3861,1. Where is your hometown?,,2024-02-27
29,Hometown,Part 1,3862,2. What kind of place is it?,,2024-02-27
29,Hometown,Part 1,3863,3. How long have you lived there?,,2024-02-27
29,Hometown,Part 1,3864,4. What is one of the best things about living there?,,2024-02-27
29,Hometown,Part 1,3865,5. Is there anything you dislike about it?,,2024-02-27
29,Hometown,Part 1,3866,6. Do you know many people who live nearby?,,2024-02-27
29,Hometown,Part 1,3867,7. Do you have any relatives who still live in your hometown? Why/Why not?,,2024-02-27
29,Hometown,Part 1,3868,8. Do you often go back to visit your hometown? Why/Why not?,,2024-02-27
29,Hometown,Part 1,5625,9. Can you describe your hometown a little bit?,,2026-01-14
29,Hometown,Part 1,5626,10. Do you like it?,,2026-01-14
29,Hometown,Part 1,66,11. Did you like living there?,,2019-09-04
29,Hometown,Part 1,840,12. Do you think you'll continue living there for a long time?,,2019-09-29
308,Life stages,Part 1,4213,1. What did you often do with your friends in your childhood?,,2024-05-21
308,Life stages,Part 1,4214,2. What do you think is the most important at the moment?,,2024-05-21
308,Life stages,Part 1,1534,3. Do you have any plans for the next five years? /What's your plan for your next stage of life?,,2020-11-09
308,Life stages,Part 1,4215,4. How do people remember each stage of their lives?,,2024-05-21
308,Life stages,Part 1,5642,5. Do you enjoy being the age you are now?,,2026-01-19
308,Life stages,Part 1,5643,6. At what age do you think people are the happiest?,,2026-01-19
33,Reading,Part 1,88,1. Do you like reading?,,2019-09-04
33,Reading,Part 1,5531,2. Do you prefer to read on paper or on a screen?,,2026-01-05
33,Reading,Part 1,5544,"3. When do you need to read carefully, and when not?",,2026-01-06
33,Reading,Part 1,5577,4. Do you prefer scanning or detailed reading?,,2026-01-07
400,Headphone,Part 1,1971,1. Do you use headphones?,,2021-09-01
400,Headphone,Part 1,5781,2. How often do you wear headphones?,,2026-05-07
400,Headphone,Part 1,5782,3. Do you think headphones are useful?,,2026-05-07
400,Headphone,Part 1,5783,4. Are headphones popular in your country?,,2026-05-07
400,Headphone,Part 1,5784,5. In what situations should people not wear headphones?,,2026-05-07
408,Pets and Animals,Part 1,2002,1. What's your favorite animal? Why?,,2021-09-03
408,Pets and Animals,Part 1,2004,2. Have you ever had a pet before?,,2021-09-03
408,Pets and Animals,Part 1,2005,"3. Where do you prefer to keep your pet, indoors or outdoors?",,2021-09-03
408,Pets and Animals,Part 1,2003,4. What is the most popular animal in China?,,2021-09-03
435,Mirrors,Part 1,2130,1. Do you like looking at yourself in the mirror? How often?,,2022-01-04
435,Mirrors,Part 1,2131,2. Have you ever bought mirrors?,,2022-01-04
435,Mirrors,Part 1,2132,3. Do you usually take a mirror with you?,,2022-01-04
435,Mirrors,Part 1,2133,4. Would you use mirrors to decorate your room?,,2022-01-04
466,Websites,Part 1,2282,1. What kinds of websites do you often visit?,,2022-01-11
466,Websites,Part 1,2283,2. What is your favourite website?,,2022-01-11
466,Websites,Part 1,2284,3. Are there any changes to the websites you often visit?,,2022-01-11
466,Websites,Part 1,2285,4. What kinds of websites are popular in your country?,,2022-01-11
47,The area you live in,Part 1,3826,1. Where are you living at the moment?,,2024-02-27
47,The area you live in,Part 1,3827,2. What kind of area is it?,,2024-02-27
47,The area you live in,Part 1,3828,3. How long have you lived there?,,2024-02-27
47,The area you live in,Part 1,3829,4. Do you know any of your neighbours?,,2024-02-27
47,The area you live in,Part 1,3830,5. What do you like about living there?,,2024-02-27
47,The area you live in,Part 1,3831,6. What changes have taken place in the area recently?,,2024-02-27
47,The area you live in,Part 1,3832,7. Would you like to change anything about your area? Why/Why not?,,2024-02-27
47,The area you live in,Part 1,3833,8. Would you like to continue living there in the future? Why/Why not?,,2024-02-27
472,Cars,Part 1,2301,1. Did you enjoy traveling by car when you were a kid?,,2022-01-13
472,Cars,Part 1,2302,2. What types of cars do you like?,,2022-01-13
472,Cars,Part 1,2303,3. Do you prefer to be a driver or a passenger?,,2022-01-13
472,Cars,Part 1,2304,4. What do you usually do when there is a traffic Jam?,,2022-01-13
472,Cars,Part 1,4698,5. Do you think car colours are important?,,2024-12-09
487,Watch,Part 1,2367,1. Do you wear a watch?,,2022-05-06
487,Watch,Part 1,2368,2. Have you ever got a watch as a gift?,,2022-05-06
487,Watch,Part 1,2369,3. Why do some people wear expensive watches?,,2022-05-06
487,Watch,Part 1,2370,4. Do you think it is important to wear a watch? Why?,,2022-05-06
563,Outer space and stars,Part 1,2941,1. Have you ever learnt about outer space and stars?,,2023-01-10
563,Outer space and stars,Part 1,2943,3.Do you enjoy watching science-fiction films/movies set in space?,,2023-01-10
563,Outer space and stars,Part 1,2942,3. Do you want to know more about outer space?,,2023-01-10
563,Outer space and stars,Part 1,2944,4. Would you like to go into outer space in the future?,,2023-01-10
64,Walking,Part 1,219,1. Do you walk a lot?,,2019-09-06
64,Walking,Part 1,5522,2. Did you often go outside to have a walk when you were a child?,,2026-01-05
64,Walking,Part 1,5523,3. Why do people like to walk in parks?,,2026-01-05
64,Walking,Part 1,5524,4. Where would you like to take a long walk if you had the chance?,,2026-01-05
64,Walking,Part 1,5525,5. Where did you go for a walk lately?,,2026-01-05
644,The city you live in,Part 1,3229,1.What city do you live in?,,2023-05-31
644,The city you live in,Part 1,3230,2.Do you like this city? Why?,,2023-05-31
644,The city you live in,Part 1,3231,3.How long have you lived in this city?,,2023-05-31
644,The city you live in,Part 1,3232,4.Are there big changes in this city?,,2023-05-31
644,The city you live in,Part 1,3233,5.ls this city your permanent residence?,,2023-05-31
644,The city you live in,Part 1,3234,6.Are there people of different ages living in this city?,,2023-05-31
656,Gifts,Part 1,3275,1. Have you ever sent handmade gifts to others?,,2023-09-01
656,Gifts,Part 1,3310,2.Have you ever received a great gift?,,2023-09-02
656,Gifts,Part 1,3276,3.What do you consider when choosing a gift?,,2023-09-01
656,Gifts,Part 1,3311,4.Do you think you are good at choosing gifts?,,2023-09-02
656,Gifts,Part 1,4793,5. What gift have you received recently?,,2025-02-04
723,Feeling bored,Part 1,3627,1. Do you often feel bored?,,2024-01-04
723,Feeling bored,Part 1,5699,Did you ever find school boring when you were a child?,,2026-05-06
723,Feeling bored,Part 1,5700,What sort of things do you find most boring now?,,2026-05-06
723,Feeling bored,Part 1,5701,What do you do to stop yourself feeling bored?,,2026-05-06
723,Feeling bored,Part 1,3628,5. When would you feel bored?,,2024-01-04
723,Feeling bored,Part 1,3629,6. What do you do when you feel bored?,,2024-01-04
723,Feeling bored,Part 1,3630,7. Do you think childhood is boring or adulthood is boring?,,2024-01-04
731,Singing,Part 1,5785,1. Did you like singing when you were a child?,,2026-05-07
731,Singing,Part 1,3683,2. Do you like singing now?,,2024-01-10
731,Singing,Part 1,5786,3. Do you enjoy singing in the car?,,2026-05-07
731,Singing,Part 1,5787,4. Do you like listening to other people sing?,,2026-05-07
731,Singing,Part 1,3684,5. Did you learn to sing when you were at school?,,2024-01-10
851,Hobby,Part 1,4703,1.Do you have any hobbies?,,2024-12-11
851,Hobby,Part 1,4704,2.Did you have any hobbies when you were a child?,,2024-12-11
851,Hobby,Part 1,4705,3.Do you have a hobby that you've had since childhood?,,2024-12-11
851,Hobby,Part 1,4706,4.Do you have the same hobbies as your family members?,,2024-12-11
989,Food,Part 1,5513,1. What is your favourite food?,,2026-01-04
989,Food,Part 1,5514,2. What kind of food did you like when you were young?,,2026-01-04
989,Food,Part 1,5543,3. Do you eat different foods at different times of the year?,,2026-01-06
989,Food,Part 1,5559,4. Has your favourite food changed since you were a child?,,2026-01-06
991,Morning time,Part 1,5526,1. Do you like getting up early in the morning?,,2026-01-05
991,Morning time,Part 1,5527,2. What do you usually do in the morning?,,2026-01-05
991,Morning time,Part 1,5528,3. What did you do in the morning when you were little? why?,,2026-01-05
991,Morning time,Part 1,5529,4. Are there any differences between what you do in the morning now and what you did in the past?,,2026-01-05
991,Morning time,Part 1,5530,5. Do you spend your mornings doing the same things on both weekends and weekdays? Why?,,2026-01-05
994,Sports team,Part 1,5546,1. Have you ever been part of a sports team?,,2026-01-06
994,Sports team,Part 1,5592,2. Are team sports popular in your culture?,,2026-01-08
994,Sports team,Part 1,5593,3. Do you like to watch team games? Why?,,2026-01-08
994,Sports team,Part 1,5624,4. What are the differences between team sports and individual sports?,,2026-01-13
996,Typing,Part 1,5576,1. Do you prefer typing or handwriting?,,2026-01-07
996,Typing,Part 1,5551,2. Do you type on a desktop or laptop keyboard every day?,,2026-01-06
996,Typing,Part 1,5552,3. When did you learn how to type on a keyboard?,,2026-01-06
996,Typing,Part 1,5553,4. How do you improve your typing?,,2026-01-06
1005,不享受的音乐活动,Part 3,5583,1. What kind of music events do people like today?,,2026-01-08
1005,不享受的音乐活动,Part 3,5630,2.Do you think children should receive some musical education?,,2026-01-15
1005,不享受的音乐活动,Part 3,5631,3.What are the differences between old and young people's music preferences?,,2026-01-15
1005,不享受的音乐活动,Part 3,5632,4.What kind of music events are there in your country?,,2026-01-15
1005,不享受的音乐活动,Part 3,5658,5. Why do many people like listening to music while doing sports?,,2026-01-26
1005,不享受的音乐活动,Part 3,5659,6. What are the differences between listening to music at home and at a live concert?,,2026-01-26
1005,不享受的音乐活动,Part 2,5582,"Describe an event you attended in which you didn't enjoy the music played

You should say:

What it was

Who you went with

Why you decided to go there

And explain why you didn't enjoy it",,2026-01-08
1006,朋友自学,Part 3,5585,1. Is it necessary to keep learning after graduating from school?,,2026-01-08
1006,朋友自学,Part 3,5586,2. Should teachers make learning in their classes fun?,,2026-01-08
1006,朋友自学,Part 3,5608,3. Do you think there are too many subjects for students to learn?,,2026-01-12
1006,朋友自学,Part 3,5609,4. Is it better to focus on a few subjects or to learn many subjects?,,2026-01-12
1006,朋友自学,Part 3,5610,5. Do you think enterprises should provide training for their employees?,,2026-01-12
1006,朋友自学,Part 3,5611,6. Do you think it is good for older adults to continue learning?,,2026-01-12
1006,朋友自学,Part 2,5654,"Describe one of your friends who learned something without a teacher

You should say:

Who he/she is

What he/she learned

Why he/she learned this

And explain whether it would be easier to learn from a teacher",,2026-01-21
1007,有趣的建筑,Part 3,5588,1. What types of buildings are popular in your country?,,2026-01-08
1007,有趣的建筑,Part 3,5589,2. Is it worth spending a lot of money on the exterior appearance of a building?,,2026-01-08
1007,有趣的建筑,Part 3,5590,3. Is it more important for a building to look good on the outside or on the inside?,,2026-01-08
1007,有趣的建筑,Part 3,5591,4. Why do people like to visit historical sites?,,2026-01-08
1007,有趣的建筑,Part 3,5667,5. Do you think it's reasonable to charge an entry fee for visiting interesting buildings?,,2026-01-30
1007,有趣的建筑,Part 3,5668,6. Is it better to live in a new building or an old one?,,2026-01-30
1007,有趣的建筑,Part 2,5587,"Describe an interesting building

You should say:

Where it is

What it looks like

What function it has

And explain why you think it is interesting",,2026-01-08
1010,爱护自然的人,Part 3,5680,1. Do you think parents should teach their children how to protect the environment?,,2026-03-06
1010,爱护自然的人,Part 3,5681,2. What laws about the environment are effective in your country?,,2026-03-06
1010,爱护自然的人,Part 3,5682,"3. Which do you think people prefer, rewards or punishment, when it comes to government intervention in environmental protection?",,2026-03-06
1010,爱护自然的人,Part 3,5683,4. Is it easy for children in cities to get close to the natural world?,,2026-03-06
1010,爱护自然的人,Part 3,5684,5. What can people do to protect the natural world?,,2026-03-06
1010,爱护自然的人,Part 3,5685,6. Is it important to teach students environmental protection at school?,,2026-03-06
1010,爱护自然的人,Part 2,5679,"Describe a person who likes to look after the natural world​

You should say:​

Who this person is​

What he or she does​

How he or she does it​

How often he or she does it​

And explain how you feel about this person​",,2026-03-06
1017,喜欢或不喜欢的高建筑,Part 3,5707,1. Are there many tall buildings in your country?,,2026-05-06
1017,喜欢或不喜欢的高建筑,Part 3,5708,2. What are the differences between those tall buildings in your country?,,2026-05-06
1017,喜欢或不喜欢的高建筑,Part 3,5755,3. Why are different places laid out and designed differently?,,2026-05-07
1017,喜欢或不喜欢的高建筑,Part 2,5706,"Describe a tall building you like or dislike

You should say:

What it is used for

Where it is

What it looks like

And explain why you like/dislike it",,2026-05-06
1018,有趣视频,Part 3,5710,1. What kind of videos do people in your country like to watch?,,2026-05-06
1018,有趣视频,Part 3,5711,"2. Which is more helpful, watching videos or reading books?",,2026-05-06
1018,有趣视频,Part 3,5712,3. What skills can people learn from watching videos?,,2026-05-06
1018,有趣视频,Part 3,5713,4. Are there any differences between the videos that young people and old people like to watch?,,2026-05-06
1018,有趣视频,Part 2,5709,"Describe an interesting video

You should say:

When and where you watched it

What it is about

Why you watched it

And explain how you feel about it",,2026-05-06
1019,无聊的地方,Part 3,5716,1. Why do most children think education is boring?,,2026-05-06
1019,无聊的地方,Part 3,5717,2. Why aren't young people willing to listen to the experiences of older people?,,2026-05-06
1019,无聊的地方,Part 3,5718,3. What can people do when they feel bored?,,2026-05-06
1019,无聊的地方,Part 3,5719,4. Why are some teachers' classes boring? Are there any solutions?,,2026-05-06
1019,无聊的地方,Part 2,5715,"Describe a boring place

You should say:

Where it is

Who you went there with

What you did there

And explain why you think it is a boring place",,2026-05-06
1020,去过的最喜欢的城市,Part 3,5726,"1. Which is more suitable for young people, urban life or rural life, and which is more suitable for old people?",,2026-05-06
1020,去过的最喜欢的城市,Part 3,5727,2. How do people choose a city to travel to?,,2026-05-06
1020,去过的最喜欢的城市,Part 3,5728,3. Do you think a tourist city is also a good place to live? Why?,,2026-05-06
1020,去过的最喜欢的城市,Part 3,5729,4. Do most people prefer to travel in a modern city or a historical city?,,2026-05-06
1020,去过的最喜欢的城市,Part 2,5725,"Describe your favorite city that you have visited

You should say:

Where it is

How you knew it

When you visited it

And explain why it is your favourite city",,2026-05-06
