schema_version,canonical_key,exam_key,source_section,source_block,source_question_no,correct_answer,source_pdf,source_sha256,target_paper_id,target_section_id,target_question_id,target_sequence,match_method,match_status,reviewer_note
1.0,2026-04-08:reading:main:q21,2026-04-08,reading,main,21,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q22,2026-04-08,reading,main,22,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q23,2026-04-08,reading,main,23,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q24,2026-04-08,reading,main,24,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q25,2026-04-08,reading,main,25,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q26,2026-04-08,reading,main,26,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q27,2026-04-08,reading,main,27,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q28,2026-04-08,reading,main,28,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q29,2026-04-08,reading,main,29,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q30,2026-04-08,reading,main,30,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q31,2026-04-08,reading,main,31,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q32,2026-04-08,reading,main,32,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q33,2026-04-08,reading,main,33,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q34,2026-04-08,reading,main,34,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q35,2026-04-08,reading,main,35,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q11,2026-04-08,reading,extra,11,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q12,2026-04-08,reading,extra,12,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q13,2026-04-08,reading,extra,13,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q14,2026-04-08,reading,extra,14,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q15,2026-04-08,reading,extra,15,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q1,2026-04-08,listening,main,1,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q2,2026-04-08,listening,main,2,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q3,2026-04-08,listening,main,3,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q4,2026-04-08,listening,main,4,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q5,2026-04-08,listening,main,5,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q6,2026-04-08,listening,main,6,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q7,2026-04-08,listening,main,7,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q8,2026-04-08,listening,main,8,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q9,2026-04-08,listening,main,9,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q10,2026-04-08,listening,main,10,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q11,2026-04-08,listening,main,11,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q12,2026-04-08,listening,main,12,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q13,2026-04-08,listening,main,13,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q14,2026-04-08,listening,main,14,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q15,2026-04-08,listening,main,15,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q16,2026-04-08,listening,main,16,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q17,2026-04-08,listening,main,17,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q18,2026-04-08,listening,main,18,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q19,2026-04-08,listening,main,19,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q20,2026-04-08,listening,main,20,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q21,2026-04-08,listening,main,21,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q22,2026-04-08,listening,main,22,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q23,2026-04-08,listening,main,23,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q24,2026-04-08,listening,main,24,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q25,2026-04-08,listening,main,25,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q26,2026-04-08,listening,main,26,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q27,2026-04-08,listening,main,27,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q28,2026-04-08,listening,main,28,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q29,2026-04-08,listening,main,29,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q30,2026-04-08,listening,main,30,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q31,2026-04-08,listening,main,31,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q32,2026-04-08,listening,main,32,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q1,2026-04-08,listening,extra,1,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q2,2026-04-08,listening,extra,2,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q3,2026-04-08,listening,extra,3,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q4,2026-04-08,listening,extra,4,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q5,2026-04-08,listening,extra,5,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q6,2026-04-08,listening,extra,6,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q7,2026-04-08,listening,extra,7,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q8,2026-04-08,listening,extra,8,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q9,2026-04-08,listening,extra,9,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q10,2026-04-08,listening,extra,10,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q11,2026-04-08,listening,extra,11,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q12,2026-04-08,listening,extra,12,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q13,2026-04-08,listening,extra,13,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q14,2026-04-08,listening,extra,14,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:extra:q15,2026-04-08,listening,extra,15,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-01:reading:main:q21,2026-04-01,reading,main,21,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q22,2026-04-01,reading,main,22,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q23,2026-04-01,reading,main,23,A,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q24,2026-04-01,reading,main,24,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q25,2026-04-01,reading,main,25,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q26,2026-04-01,reading,main,26,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q27,2026-04-01,reading,main,27,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q28,2026-04-01,reading,main,28,A,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q29,2026-04-01,reading,main,29,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q30,2026-04-01,reading,main,30,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q31,2026-04-01,reading,main,31,D,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q32,2026-04-01,reading,main,32,D,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q33,2026-04-01,reading,main,33,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q34,2026-04-01,reading,main,34,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:main:q35,2026-04-01,reading,main,35,A,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:extra:q11,2026-04-01,reading,extra,11,A,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:extra:q12,2026-04-01,reading,extra,12,D,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:extra:q13,2026-04-01,reading,extra,13,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:extra:q14,2026-04-01,reading,extra,14,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:reading:extra:q15,2026-04-01,reading,extra,15,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q1,2026-04-01,listening,main,1,A,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q2,2026-04-01,listening,main,2,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q3,2026-04-01,listening,main,3,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q4,2026-04-01,listening,main,4,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q5,2026-04-01,listening,main,5,A,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q6,2026-04-01,listening,main,6,C,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q7,2026-04-01,listening,main,7,D,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q8,2026-04-01,listening,main,8,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q9,2026-04-01,listening,main,9,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q10,2026-04-01,listening,main,10,D,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q11,2026-04-01,listening,main,11,B,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q12,2026-04-01,listening,main,12,D,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
1.0,2026-04-01:listening:main:q13,2026-04-01,listening,main,13,D,4.1新托福真题/4.1答案.pdf,3610d6ebb3d8e240d2b1d7dc07a54549c8f8b83bf51f148adf80f3f31a25404c,,,,,,unmatched,
