practice_id,practice_title,folder,reading_sources,listening_sources,writing_sources,answer_candidates,primary_answer_file,answer_format,status,partial_material,reading_fill_answers,reading_fill_matched,reading_mc_answers,reading_mc_matched,listening_mc_answers,listening_mc_matched,writing_order_answers,writing_order_matched,warnings
2026-01-21-a,2026-01-21 A卷,1.21新托福真题A卷,1.21新托福真题A卷/新托福真题01.pdf,1.21新托福真题A卷/新托福真题01.pdf | 1.21新托福真题A卷/新托福真题01-听力原文.pdf,1.21新托福真题A卷/新托福真题01.pdf,1.21新托福真题A卷/新托福真题01参考答案.pdf,1.21新托福真题A卷/新托福真题01参考答案.pdf,english_modules,mapped,False,30,30,20,19,47,45,10,10,
2026-01-21-b,2026-01-21 B卷,1.21新托福真题B 卷,1.21新托福真题B 卷/新托福2026年真题02.pdf,1.21新托福真题B 卷/新托福2026年真题02.pdf | 1.21新托福真题B 卷/听力原文-新托福2026真题02.pdf,1.21新托福真题B 卷/新托福2026年真题02.pdf,1.21新托福真题B 卷/参考答案-新托福2026真题02.pdf,1.21新托福真题B 卷/参考答案-新托福2026真题02.pdf,english_modules,mapped,False,30,30,20,16,47,46,10,10,
2026-01-21-c,2026-01-21 C卷,1.21新托福真题C卷,1.21新托福真题C卷/新托福2026年真题03.pdf,1.21新托福真题C卷/新托福2026年真题03.pdf | 1.21新托福真题C卷/听力原文-新托福2026真题03.pdf,1.21新托福真题C卷/新托福2026年真题03.pdf,1.21新托福真题C卷/参考答案-新托福2026真题03.pdf,1.21新托福真题C卷/参考答案-新托福2026真题03.pdf,english_modules,mapped,False,30,30,20,18,47,47,10,10,
2026-01-27-a,2026-01-27 A卷,1.27新托福A卷,1.27新托福A卷/新托福2026真题04.pdf,1.27新托福A卷/新托福2026真题04.pdf | 1.27新托福A卷/听力原文-新托福2026真题04.pdf,1.27新托福A卷/新托福2026真题04.pdf,1.27新托福A卷/参考答案-新托福2026真题04.pdf,1.27新托福A卷/参考答案-新托福2026真题04.pdf,english_modules,mapped,False,30,20,20,6,47,47,10,10,
2026-01-27-b,2026-01-27 B卷,1.27新托福B卷,1.27新托福B卷/2026新托福真题01.pdf,1.27新托福B卷/2026新托福真题01.pdf | 1.27新托福B卷/听力原文-2026新托福真题02.pdf,1.27新托福B卷/2026新托福真题01.pdf,1.27新托福B卷/参考答案-2026新托福真题02.pdf,1.27新托福B卷/参考答案-2026新托福真题02.pdf,english_modules,mapped,False,30,30,20,19,47,47,10,10,
2026-01-28-a,2026-01-28 A卷,1.28新托福真题A卷,1.28新托福真题A卷/2026新托福真题05.pdf,1.28新托福真题A卷/2026新托福真题05.pdf | 1.28新托福真题A卷/2026新托福真题05-听力原文.pdf,1.28新托福真题A卷/2026新托福真题05.pdf,1.28新托福真题A卷/2026新托福真题05-参考答案.pdf,1.28新托福真题A卷/2026新托福真题05-参考答案.pdf,english_modules,mapped_with_warnings,False,30,30,19,18,47,47,10,10,"reading.m1: missing question numbers: 29 | reading.m1: expected 35, found 34"
2026-01-28-b,2026-01-28 B卷,1.28新托福真题B卷,1.28新托福真题B卷/2.1新托福真题01.pdf,1.28新托福真题B卷/2.1新托福真题01.pdf | 1.28新托福真题B卷/听力原文-2026新托福真题01.pdf,1.28新托福真题B卷/2.1新托福真题01.pdf,1.28新托福真题B卷/参考答案-2026新托福真题01.pdf,1.28新托福真题B卷/参考答案-2026新托福真题01.pdf,english_modules,mapped,False,30,30,20,19,47,46,10,10,
2026-02-01-a,2026-02-01 A卷,2.1新托福A卷,2.1新托福A卷/2026.2.1新托福真题.pdf,2.1新托福A卷/2026.2.1新托福真题.pdf | 2.1新托福A卷/听力原文-20262.1新托福真题.pdf,2.1新托福A卷/2026.2.1新托福真题.pdf,2.1新托福A卷/参考答案-2026.2.1新托福真题.pdf,2.1新托福A卷/参考答案-2026.2.1新托福真题.pdf,english_modules,mapped,False,30,30,20,19,47,46,10,10,
2026-02-01-b,2026-02-01 B卷,2.1新托福真题B卷,2.1新托福真题B卷/2026新托福真题10.pdf,2.1新托福真题B卷/2026新托福真题10.pdf | 2.1新托福真题B卷/听力原文-2026新托福真题10.pdf,2.1新托福真题B卷/2026新托福真题10.pdf,2.1新托福真题B卷/参考答案-2026新托福真题10.pdf,2.1新托福真题B卷/参考答案-2026新托福真题10.pdf,english_modules,mapped,False,30,30,20,19,47,45,10,10,
2026-02-01-c,2026-02-01 C卷,2.1新托福真题C卷,2.1新托福真题C卷/2.1新托福真题C卷.pdf,2.1新托福真题C卷/2.1新托福真题C卷.pdf | 2.1新托福真题C卷/听力原文-2026新托福真题11.pdf,2.1新托福真题C卷/2.1新托福真题C卷.pdf,2.1新托福真题C卷/参考答案-2026新托福真题11.pdf,2.1新托福真题C卷/参考答案-2026新托福真题11.pdf,english_modules,mapped,False,30,30,20,18,47,47,10,10,
2026-02-02,2026-02-02,2.2新托福真题,2.2新托福真题/2026新托福真题08.pdf,2.2新托福真题/2026新托福真题08.pdf | 2.2新托福真题/听力原文-2026新托福真题08.pdf,2.2新托福真题/2026新托福真题08.pdf,2.2新托福真题/参考答案-2026新托福真题08.pdf,2.2新托福真题/参考答案-2026新托福真题08.pdf,english_modules,mapped,False,30,30,20,19,47,46,10,10,
2026-02-04-s1,2026-02-04 套一,2.4新托福真题,2.4新托福真题/2.4 套一 阅读.docx,2.4新托福真题/2.4 套一 听力.docx,2.4新托福真题/2.4 套一 写作.docx,2.4新托福真题/2.4 套一 答案.docx,2.4新托福真题/2.4 套一 答案.docx,chinese_sections,mapped,False,30,30,20,20,47,42,10,10,
2026-02-08,2026-02-08,2.8新托福真题,2.8新托福真题/2.8阅读.pdf,2.8新托福真题/2.8听力.pdf,2.8新托福真题/2.8写作.pdf,2.8新托福真题/2.8答案.pdf,2.8新托福真题/2.8答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,46,10,9,
2026-02-10,2026-02-10,2.10新托福真题,2.10新托福真题/2026新托福真题12.pdf,2.10新托福真题/2026新托福真题12.pdf | 2.10新托福真题/听力原文-2026新托福真题12.pdf,2.10新托福真题/2026新托福真题12.pdf,2.10新托福真题/参考答案-2026新托福真题12.pdf,2.10新托福真题/参考答案-2026新托福真题12.pdf,english_modules,mapped,False,30,20,20,10,47,47,10,10,
2026-02-23,2026-02-23,2.23新托福真题,2.23新托福真题/2.23 阅读.pdf,2.23新托福真题/2.23 听力.pdf,2.23新托福真题/2.23 写作.pdf,2.23新托福真题/2.23 答案.pdf,2.23新托福真题/2.23 答案.pdf,chinese_sections,mapped_with_warnings,False,29,29,20,19,47,30,10,0,"reading.m1: missing question numbers: 1 | reading.m1: expected 35, found 34"
2026-02-25,2026-02-25,2.25新托福真题,2.25新托福真题/2.25  阅读.pdf,2.25新托福真题/2.25  听力.pdf,2.25新托福真题/2.25  写作.pdf,2.25新托福真题/2.25  答案.pdf,2.25新托福真题/2.25  答案.pdf,chinese_sections,mapped,False,31,30,19,19,47,42,10,9,
2026-02-28,2026-02-28,2.28新托福真题,2.28新托福真题/2026新托福真题.pdf,2.28新托福真题/2026新托福真题.pdf | 2.28新托福真题/听力原文-2026新托福真题13.pdf,2.28新托福真题/2026新托福真题.pdf,2.28新托福真题/参考答案-2026新托福真题13.pdf,2.28新托福真题/参考答案-2026新托福真题13.pdf,english_modules,mapped,False,30,20,20,4,47,43,10,10,
2026-03-02-a,2026-03-02 A卷,3.2托福A卷,3.2托福A卷/3.2A阅读.pdf,3.2托福A卷/3.2A听力.pdf,3.2托福A卷/3.2A写作.pdf,3.2托福A卷/3.2A答案.pdf,3.2托福A卷/3.2A答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,43,10,10,
2026-03-02-b,2026-03-02 B卷,3.2托福B卷,3.2托福B卷/3.2B阅读.pdf,3.2托福B卷/3.2B听力.pdf,3.2托福B卷/3.2B写作.pdf,3.2托福B卷/3.2B答案.pdf,3.2托福B卷/3.2B答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,44,10,10,
2026-03-04,2026-03-04,3.4新托福真题,3.4新托福真题/3.4阅读.pdf,3.4新托福真题/3.4听力.pdf,3.4新托福真题/3.4写作.pdf,3.4新托福真题/3.4答案.pdf,3.4新托福真题/3.4答案.pdf,chinese_sections,mapped_with_warnings,False,30,30,20,20,32,32,10,10,"listening.m2: expected 15, found 0"
2026-03-06,2026-03-06,3.6新托福真题,3.6新托福真题/3.6阅读.pdf,3.6新托福真题/3.6（Q8开始）.pdf,3.6新托福真题/3.6写作A.pdf | 3.6新托福真题/3.6写作B.pdf,3.6新托福真题/3.6答案.pdf,3.6新托福真题/3.6答案.pdf,chinese_sections,mapped_with_warnings,False,30,30,20,20,40,35,10,10,"listening.m1: missing question numbers: 1,2,3,4,5,6,7 | listening.m1: expected 32, found 25"
2026-03-08,2026-03-08,3.8新托福真题,3.8新托福真题/3.8阅读.pdf,3.8新托福真题/3.8听力.pdf,3.8新托福真题/3.85写作.pdf,3.8新托福真题/3.8答案.pdf,3.8新托福真题/3.8答案.pdf,chinese_sections,mapped_with_warnings,False,30,30,20,20,32,32,10,10,"listening.m2: expected 15, found 0"
2026-03-08-offline,2026-03-08 线下,3.8线下【后续继续补充】,3.8线下【后续继续补充】/3.8 -完整一套/3.8 阅读.docx | 3.8线下【后续继续补充】/阅读写作口语-题目补充/阅读-填空补充.pdf,3.8线下【后续继续补充】/3.8 -完整一套/3.8 听力.docx,3.8线下【后续继续补充】/3.8 -完整一套/3.8 写作.docx | 3.8线下【后续继续补充】/阅读写作口语-题目补充/写作-学术补充.pdf | 3.8线下【后续继续补充】/阅读写作口语-题目补充/写作-邮件补充.pdf,3.8线下【后续继续补充】/3.8 -完整一套/3.8 答案.docx,3.8线下【后续继续补充】/3.8 -完整一套/3.8 答案.docx,chinese_sections,mapped_partial_material,True,30,30,20,20,32,30,10,10,"listening.m2: expected 15, found 0"
2026-03-10,2026-03-10,3.10新托福真题,3.10新托福真题/3.10阅读.pdf,3.10新托福真题/3.10听力.pdf,3.10新托福真题/3.10写作.pdf,3.10新托福真题/3.10答案.pdf,3.10新托福真题/3.10答案.pdf,chinese_sections,mapped_with_warnings,False,30,30,20,20,44,40,10,0,"listening.m1: missing question numbers: 1,2,3 | listening.m1: expected 32, found 29"
2026-03-11,2026-03-11,3.11新托福真题,3.11新托福真题/3.11阅读.pdf,3.11新托福真题/3.11听力.pdf,3.11新托福真题/3.11写作.pdf,3.11新托福真题/3.11答案.pdf,3.11新托福真题/3.11答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,46,10,10,
2026-03-14,2026-03-14,3.14新托福真题,3.14新托福真题/2026新托福真题.pdf,3.14新托福真题/2026新托福真题.pdf | 3.14新托福真题/听力原文-2026新托福真题.pdf,3.14新托福真题/2026新托福真题.pdf,3.14新托福真题/参考答案-2026新托福真题.pdf,3.14新托福真题/参考答案-2026新托福真题.pdf,english_modules,mapped,False,30,30,20,18,47,46,10,10,
2026-03-14-offline-cn,2026-03-14 国内线下,3.14-国内线下-合集，后续还会补充高质量版本,3.14-国内线下-合集，后续还会补充高质量版本/阅读-拼版合集.pdf,,3.14-国内线下-合集，后续还会补充高质量版本/写作-邮件和学术.pdf,,,none,no_answer_file,True,0,0,0,0,0,0,0,0,no answer file
2026-03-15,2026-03-15,3.15新托福真题,3.15新托福真题/3.15阅读.pdf,3.15新托福真题/3.15听力.pdf,3.15新托福真题/3.15写作.pdf,3.15新托福真题/3.15答案.pdf,3.15新托福真题/3.15答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,42,10,8,
2026-03-16,2026-03-16,3.16托福真题,3.16托福真题/3.16阅读.pdf,3.16托福真题/3.16听力.pdf,3.16托福真题/3.16写作.pdf,3.16托福真题/3.16答案.pdf,3.16托福真题/3.16答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,45,10,9,
2026-03-17,2026-03-17,3.17新托福真题,3.17新托福真题/3.17阅读.pdf,3.17新托福真题/3.17听力.pdf,3.17新托福真题/3.17写作.pdf,3.17新托福真题/3.17答案.pdf,3.17新托福真题/3.17答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,42,10,8,
2026-03-18,2026-03-18,3.18新托福真题,3.18新托福真题/3.18阅读.pdf,3.18新托福真题/3.18听力.pdf,3.18新托福真题/3.18写作.pdf,3.18新托福真题/3.18答案.pdf,3.18新托福真题/3.18答案.pdf,chinese_sections,mapped_with_warnings,False,31,30,18,18,47,46,10,10,"reading.m1: missing question numbers: 21 | reading.m1: expected 35, found 34"
2026-03-20,2026-03-20,3.20新托福真题,3.20新托福真题/3.20阅读.pdf,3.20新托福真题/3.20听力.pdf,3.20新托福真题/3.20写作.pdf,3.20新托福真题/3.20答案.pdf,3.20新托福真题/3.20答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,46,10,8,
2026-03-21-offline-cn,2026-03-21 国内线下,3.21 国内线下- 合集-仅收录部分-待后续补充,3.21 国内线下- 合集-仅收录部分-待后续补充/阅读.pdf,3.21 国内线下- 合集-仅收录部分-待后续补充/听力/题目.docx,3.21 国内线下- 合集-仅收录部分-待后续补充/写作.pdf,,,none,no_answer_file,True,0,0,0,0,0,0,0,0,no answer file
2026-03-23-s1,2026-03-23 套一,3.23,3.23/3.23 套一 阅读.docx,3.23/3.23 套一 听力.docx,3.23/3.23 套一 写作.docx,3.23/3.23 套一 答案.docx,3.23/3.23 套一 答案.docx,chinese_sections,mapped,False,30,30,20,20,47,44,10,10,
2026-03-25,2026-03-25,3.25,3.25/3.25 阅读.docx,3.25/3.25 听力.docx,3.25/3.25 写作.docx,3.25/3.25 答案.docx,3.25/3.25 答案.docx,chinese_sections,mapped,False,30,30,20,20,47,47,10,10,
2026-03-27,2026-03-27,3.27新托福真题,3.27新托福真题/3.27阅读.pdf,3.27新托福真题/3.27听力.pdf,3.27新托福真题/3.27写作.pdf,3.27新托福真题/3.27答案.pdf,3.27新托福真题/3.27答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,44,10,9,
2026-03-29-offline-cn,2026-03-29 国内线下,3.29-国内线下-后续还会补充,3.29-国内线下-后续还会补充/3.29 阅读-1 自带答案.pdf | 3.29-国内线下-后续还会补充/3.29阅读-2 自带答案.pdf,3.29-国内线下-后续还会补充/听力/3.29 听力.docx,3.29-国内线下-后续还会补充/3.29 写作.pdf,3.29-国内线下-后续还会补充/3.29 答案.pdf | 3.29-国内线下-后续还会补充/3.29 阅读-1 自带答案.pdf | 3.29-国内线下-后续还会补充/3.29阅读-2 自带答案.pdf,3.29-国内线下-后续还会补充/3.29 答案.pdf,chinese_sections,mapped_partial_material,True,0,0,0,0,47,47,10,10,"reading.m1: expected 35, found 0 | reading.m2: expected 15, found 0"
2026-03-30,2026-03-30,3.30新托福真题,3.30新托福真题/3.30阅读.pdf,3.30新托福真题/3.30听力.pdf,3.30新托福真题/3.30写作.pdf,3.30新托福真题/3.30答案.pdf,3.30新托福真题/3.30答案.pdf,chinese_sections,mapped,False,31,30,19,19,47,42,10,9,
2026-04-01,2026-04-01,4.1新托福真题,4.1新托福真题/4.1阅读.pdf,4.1新托福真题/4.1听力.pdf,4.1新托福真题/4.1写作.pdf,4.1新托福真题/4.1答案.pdf,4.1新托福真题/4.1答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,44,10,9,
2026-04-05-s2,2026-04-05 套二,4.5新托福真题,4.5新托福真题/4.5套2阅读.pdf,4.5新托福真题/4.5 套二 听力（q4-6缺失）.pdf,4.5新托福真题/4.5套2写作.pdf,4.5新托福真题/4.5答案.pdf,4.5新托福真题/4.5答案.pdf,chinese_sections,mapped_partial_material,True,30,30,37,20,0,0,10,8,"reading.m2: expected 15, found 32 | listening.m1: expected 32, found 0 | listening.m2: expected 15, found 0"
2026-04-06,2026-04-06,4.6新托福真题,4.6新托福真题/4.6阅读.pdf,,4.6新托福真题/4.6写作.pdf | 4.6新托福真题/4.6写作缺Q1.pdf,4.6新托福真题/4.6答案.pdf,4.6新托福真题/4.6答案.pdf,chinese_sections,mapped_with_warnings,False,30,20,20,1,46,0,10,9,"listening.m1: missing question numbers: 1 | listening.m1: expected 32, found 31"
2026-04-08,2026-04-08,4.8新托福真题,4.8新托福真题/4.8阅读.pdf,4.8新托福真题/4.8听力.pdf,4.8新托福真题/4.8写作.pdf,4.8新托福真题/4.8答案.pdf,4.8新托福真题/4.8答案.pdf,chinese_sections,mapped,False,30,30,20,20,47,45,10,10,
2026-04-11-offline-cn,2026-04-11 国内线下,4.11-国内线下-后续还会补充,4.11-国内线下-后续还会补充/04.11_阅读+答案.pdf,,4.11-国内线下-后续还会补充/04.11_写作真题+解析.pdf,4.11-国内线下-后续还会补充/04.11_口语真题 +答案.pdf | 4.11-国内线下-后续还会补充/04.11_阅读+答案.pdf,4.11-国内线下-后续还会补充/04.11_阅读+答案.pdf,unsupported,unsupported_answer_layout,True,0,0,0,0,0,0,0,0,unrecognized answer layout
2026-04-13-s1,2026-04-13 套一,4.13,4.13/4.13 套一 阅读.docx,4.13/4.13 套一 听力.docx,4.13/4.13 套一 写作.docx,4.13/4.13 套一 答案.docx,4.13/4.13 套一 答案.docx,chinese_sections,mapped,False,30,20,20,13,47,46,10,10,
2026-04-15-s1,2026-04-15 套一,4.15,4.15/4.15 套一 阅读.docx,4.15/4.15 套一 听力.docx,4.15/4.15 套一 写作.docx,4.15/4.15 套一 答案.docx,4.15/4.15 套一 答案.docx,chinese_sections,mapped,False,30,20,20,0,47,46,10,9,
